icpsr,id,name,state_abbrev,cast_code
14256,MH09414256,"MILLER, George",CA,1
14257,MH09414257,"MINETA, Norman Y.",CA,1
14258,MH09414258,"MOFFETT, Anthony John, Jr. (Toby)",CT,1
14259,MH09414259,"MOORE, William Henson, III",LA,1
14260,MH09414260,"MOTTL, Ronald Milton",OH,1
14261,MH09414261,"MYERS, Gary Arthur",PA,1
14262,MH09414262,"NEAL, Stephen Lybrook",NC,1
14263,MH09414263,"NOLAN, Richard Michael",MN,9
14264,MH09414264,"NOWAK, Henry James",NY,1
14265,MH09414265,"OBERSTAR, James Louis",MN,1
14266,MH09414266,"PATTERSON, Jerry Mumford",CA,1
14267,MH09414267,"PATTISON, Edward Worthington",NY,1
14268,MH09414268,"PRESSLER, Larry Lee",SD,1
14269,MH09414269,"RICHMOND, Frederick William",NY,1
14270,MH09414270,"RISENHOOVER, Theodore Marshall",OK,1
14271,MH09414271,"RUSSO, Martin Anthony",IL,9
14272,MH09414272,"SANTINI, James David",NV,9
14273,MH09414273,"SCHULZE, Richard Taylor",PA,1
14274,MH09414274,"SHARP, Philip Riley",IN,1
14275,MH09414275,"SIMON, Paul Martin",IL,1
14276,MH09414276,"SMITH, Virginia Dodd",NE,1
14277,MH09414277,"SOLARZ, Stephen Joshua",NY,1
14278,MH09414278,"SPELLMAN, Gladys Noon",MD,1
14279,MH09414279,"TSONGAS, Paul Efthemios",MA,1
14280,MH09414280,"WAXMAN, Henry Arnold",CA,1
14281,MH09414281,"WEAVER, James Howard",OR,1
14282,MH09414282,"WIRTH, Timothy E.",CO,1
14283,MH09414283,"ZEFERETTI, Leo C.",NY,9
14284,MH09414284,"D'AMOURS, Norman Edward",NH,1
14285,MH09414285,"FARY, John G.",IL,1
14286,MH09414286,"ALLEN, Clifford Robertson",TN,1
14287,MH09414287,"PETTIS, Shirley Neil",CA,1
14288,MH09414288,"GOODLING, William Franklin",PA,1
14289,MH09414289,"LUNDINE, Stanley Nelson",NY,1
14290,MH09414290,"PAUL, Ronald Ernest",TX,1
14291,MH09414291,"HALL, Sam Blakeley, Jr.",TX,1
2009,MH09402009,"CONTE, Silvio Ottavio",MA,1
10579,MH09410579,"CLAUSEN, Donald Holst",CA,1
